uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
8,0,100438,0,2010-12-19 | 100438,2010-12-19T00:00:00,8
16,0,1014390,0,2010-12-19 | 1014390,2010-12-19T00:00:00,16
20,0,1066667,0,2010-12-19 | 1066667,2010-12-19T00:00:00,22
9,0,1082106,0,2010-12-19 | 1082106,2010-12-19T00:00:00,9
8,0,1120937,0,2010-12-19 | 1120937,2010-12-19T00:00:00,9
53,0,1125529,0,2010-12-19 | 1125529,2010-12-19T00:00:00,69
14,0,1126457,0,2010-12-19 | 1126457,2010-12-19T00:00:00,15
12,0,1127758,0,2010-12-19 | 1127758,2010-12-19T00:00:00,13
7,0,1138456,0,2010-12-19 | 1138456,2010-12-19T00:00:00,7
16,1,1150073,1,2010-12-19 | 1150073,2010-12-19T00:00:00,17
18,0,117717,0,2010-12-19 | 117717,2010-12-19T00:00:00,20
19,0,1191479,0,2010-12-19 | 1191479,2010-12-19T00:00:00,20
15,0,1192925,0,2010-12-19 | 1192925,2010-12-19T00:00:00,16
15,0,1202129,0,2010-12-19 | 1202129,2010-12-19T00:00:00,15
30,0,1203537,0,2010-12-19 | 1203537,2010-12-19T00:00:00,35
22,0,1209712,0,2010-12-19 | 1209712,2010-12-19T00:00:00,27
7,0,1223577,0,2010-12-19 | 1223577,2010-12-19T00:00:00,7
13,0,1236834,0,2010-12-19 | 1236834,2010-12-19T00:00:00,13
30,0,1237754,0,2010-12-19 | 1237754,2010-12-19T00:00:00,31
13,0,1240364,0,2010-12-19 | 1240364,2010-12-19T00:00:00,13
27,0,1241858,0,2010-12-19 | 1241858,2010-12-19T00:00:00,37
15,0,1276998,0,2010-12-19 | 1276998,2010-12-19T00:00:00,15
13,0,1286763,0,2010-12-19 | 1286763,2010-12-19T00:00:00,14
9,0,1297266,0,2010-12-19 | 1297266,2010-12-19T00:00:00,9
25,0,1297525,0,2010-12-19 | 1297525,2010-12-19T00:00:00,27
17,0,1307334,0,2010-12-19 | 1307334,2010-12-19T00:00:00,19
19,0,1314412,0,2010-12-19 | 1314412,2010-12-19T00:00:00,19
2,0,1325831,0,2010-12-19 | 1325831,2010-12-19T00:00:00,3
22,0,1326984,0,2010-12-19 | 1326984,2010-12-19T00:00:00,22
8,0,1361264,0,2010-12-19 | 1361264,2010-12-19T00:00:00,9
11,0,13630,0,2010-12-19 | 13630,2010-12-19T00:00:00,11
8,0,1364255,0,2010-12-19 | 1364255,2010-12-19T00:00:00,9
14,0,1364936,0,2010-12-19 | 1364936,2010-12-19T00:00:00,14
19,0,1372183,0,2010-12-19 | 1372183,2010-12-19T00:00:00,19
13,0,1372689,0,2010-12-19 | 1372689,2010-12-19T00:00:00,13
9,0,1387227,0,2010-12-19 | 1387227,2010-12-19T00:00:00,10
71,0,1387652,0,2010-12-19 | 1387652,2010-12-19T00:00:00,93
22,0,1408406,0,2010-12-19 | 1408406,2010-12-19T00:00:00,24
5,0,1413072,0,2010-12-19 | 1413072,2010-12-19T00:00:00,5
9,0,1473703,0,2010-12-19 | 1473703,2010-12-19T00:00:00,9
4,0,147983,0,2010-12-19 | 147983,2010-12-19T00:00:00,4
43,0,1484786,0,2010-12-19 | 1484786,2010-12-19T00:00:00,56
3,0,149690,0,2010-12-19 | 149690,2010-12-19T00:00:00,3
7,0,1501856,0,2010-12-19 | 1501856,2010-12-19T00:00:00,7
24,0,1503120,0,2010-12-19 | 1503120,2010-12-19T00:00:00,25
10,0,1504602,0,2010-12-19 | 1504602,2010-12-19T00:00:00,10
10,0,1514388,0,2010-12-19 | 1514388,2010-12-19T00:00:00,10
13,0,1568845,0,2010-12-19 | 1568845,2010-12-19T00:00:00,13
45,0,1581762,0,2010-12-19 | 1581762,2010-12-19T00:00:00,55
33,0,1593133,0,2010-12-19 | 1593133,2010-12-19T00:00:00,35
7,0,1596715,0,2010-12-19 | 1596715,2010-12-19T00:00:00,7
14,0,1601896,0,2010-12-19 | 1601896,2010-12-19T00:00:00,14
1,0,1604396,0,2010-12-19 | 1604396,2010-12-19T00:00:00,1
12,0,1616888,0,2010-12-19 | 1616888,2010-12-19T00:00:00,12
17,0,1618095,0,2010-12-19 | 1618095,2010-12-19T00:00:00,17
25,0,1618576,0,2010-12-19 | 1618576,2010-12-19T00:00:00,31
47,1,1618625,1,2010-12-19 | 1618625,2010-12-19T00:00:00,62
19,0,1618660,0,2010-12-19 | 1618660,2010-12-19T00:00:00,19
21,0,1618690,0,2010-12-19 | 1618690,2010-12-19T00:00:00,24
